title,Make,Model,Year,mileage,Transmission,City,Color,Price,Image,mileage_numerical,price_numerical
Used Renault Logan 2015 for sale Maadi,Renault,Logan,2015,"140,000 Km",manual,Maadi,Dark red,"365,000 EGP","=IMAGE(""https://media.hatla2eestatic.com/uploads/car/2025/01/27/6891912/full_up_25cd058f0195b68188927f0cbb453a63.jpg"")",140000.0,365000.0
Used Renault Logan 2016 for sale Alexandria,Renault,Logan,2016,"150,000 Km",manual,Alexandria,Blue,"360,000 EGP","=IMAGE(""https://media.hatla2eestatic.com/uploads/car/2025/02/01/6896110/full_up_fcbfdbb5fd936a43c6479f2d56da1cfb.jpg"")",150000.0,360000.0
Used Renault Logan 2019 for sale Heliopolis,Renault,Logan,Automatic  / E1,2019,"83,000 Km",automatic,Heliopolis,"530,000 EGP","=IMAGE(""https://media.hatla2eestatic.com/uploads/car/2025/02/03/6897808/full_up_69f7544a0fb805ad567ebc7a97e10365.jpg"")",2019.0,530000.0
Used Renault Logan 2014 for sale Nasr city,Renault,Logan,2014,"97,000 Km",manual,Nasr city,Black,"355,000 EGP","=IMAGE(""https://media.hatla2eestatic.com/uploads/car/2025/02/05/6899454/full_up_7233cbfcb1f692b9af0d881222662da2.jpg"")",97000.0,355000.0
Used Renault Logan 2016 for sale Cairo,Renault,Logan,2016,"201,000 Km",automatic,Cairo,Silver,"480,000 EGP","=IMAGE(""https://media.hatla2eestatic.com/uploads/car/2025/02/11/6903845/full_up_9c7d11e9cf0f33c9dca3c1ac141e7642.jpg"")",201000.0,480000.0
Used Renault Logan 2021 for sale Mokattam,Renault,Logan,2021,"90,000 Km",automatic,Mokattam,Dark blue,"630,000 EGP","=IMAGE(""https://media.hatla2eestatic.com/uploads/car/2025/02/10/6903355/full_up_e593404d1ec55a7799eb0e1fb7f51ccf.jpg"")",90000.0,630000.0
Used Renault Logan 2012 for sale Cairo,Renault,Logan,2012,"323,000 Km",manual,Cairo,Petroleum,"250,000 EGP","=IMAGE(""https://media.hatla2eestatic.com/uploads/car/2025/02/13/6905917/full_up_025cce842ec4e3191b2159e7216bf9da.jpg"")",323000.0,250000.0
Used Renault Logan 2017 for sale Heliopolis,Renault,Logan,Automatic,2017,"125,000 Km",automatic,Heliopolis,"470,000 EGP","=IMAGE(""https://media.hatla2eestatic.com/uploads/car/2025/02/13/6905940/full_up_d72a2ac26dcda375d7a364fbb998d803.jpg"")",2017.0,470000.0
Used Renault Logan 2010 for sale Alexandria,Renault,Logan,2010,"300,000 Km",manual,Alexandria,White,"350,000 EGP","=IMAGE(""https://media.hatla2eestatic.com/uploads/car/2025/02/05/6899695/full_up_acd34315827105f899a4354b1fb5d2f4.jpg"")",300000.0,350000.0
Used Renault Logan 2022 for sale Cairo,Renault,Logan,2022,"90,000 Km",automatic,Cairo,Gray,"599,000 EGP","=IMAGE(""https://media.hatla2eestatic.com/uploads/car/2025/02/08/6902031/full_up_8b33aef07e494ceef75e0ce57763460b.jpg"")",90000.0,599000.0
Used Renault Logan 2017 for sale Alexandria,Renault,Logan,F/ O  M/T 1.6,2017,"145,000 Km",manual,Alexandria,"405,000 EGP","=IMAGE(""https://media.hatla2eestatic.com/uploads/car/2025/02/12/6904967/full_up_ab3c9ed9e1a95063227e4e308572dfcc.jpg"")",2017.0,405000.0
Used Renault Logan 2018 for sale Alexandria,Renault,Logan,A/T F/O F/L,2018,"100,000 Km",automatic,Alexandria,"470,000 EGP","=IMAGE(""https://media.hatla2eestatic.com/uploads/car/2025/02/13/6905873/full_up_a907aa49a9ede1ee37a4626d0910dff2.jpg"")",2018.0,470000.0
Used Renault Logan 2017 for sale Tagamo3 - New Cairo,Renault,Logan,Automatic,2017,"250,000 Km",automatic,Tagamo3 - New Cairo,"400,000 EGP","=IMAGE(""https://media.hatla2eestatic.com/uploads/car/2025/01/24/6889765/full_up_65f41c6b03152a5286e19efff7c16e6f.jpg"")",2017.0,400000.0
Used Renault Logan 2021 for sale Cairo,Renault,Logan,2021,"48,000 Km",manual,Cairo,Dark grey,"465,000 EGP","=IMAGE(""https://media.hatla2eestatic.com/uploads/car/2025/02/13/6905943/full_up_0a98b2ca9fbab15fc6dd3c40f4eaa715.jpg"")",48000.0,465000.0
Used Renault Logan 2015 for sale Maadi,Renault,Logan,2015,"130,000 Km",manual,Maadi,Silver,"400,000 EGP","=IMAGE(""https://media.hatla2eestatic.com/uploads/car/2025/02/07/6900714/full_up_a4513d09a99f8f36ca4fd6b84c2afc45.jpg"")",130000.0,400000.0
Used Renault Logan 2010 for sale Al Shorouk,Renault,Logan,2010,"170,000 Km",manual,Al Shorouk,Black,"280,000 EGP","=IMAGE(""https://media.hatla2eestatic.com/uploads/car/2025/02/11/6904609/full_up_dfc8aadf31ce1eb6bc25cc5099de8461.jpg"")",170000.0,280000.0
Used Renault Logan 2022 for sale Nasr city,Renault,Logan,A/T / E1,2022,"35,000 Km",automatic,Nasr city,"598,000 EGP","=IMAGE(""https://media.hatla2eestatic.com/uploads/car/2025/02/05/6899293/full_up_00f83bcbf0b12e936fec5e8cdb94500c.jpg"")",2022.0,598000.0
Used Renault Logan 2019 for sale Sheikh Zayed City,Renault,Logan,Automatic  / E1,2019,"110,000 Km",automatic,Sheikh Zayed City,"505,000 EGP","=IMAGE(""https://media.hatla2eestatic.com/uploads/car/2025/02/12/6905380/full_up_ebb51cb06687e3018eaa69b2e2a77928.jpg"")",2019.0,505000.0
